"vendor_code","name"
6960894,"Пакет-коробка подарочная ""Best Wishes"", 28х20х13 см, Me To You"
6831722,"Пакет подарочный новогодний пропиленовый «С НГ», 24 х 39 см, Новый год"
7705506,"Пакет подарочный новогодний «Happines», 30 х 27.5 х 12 см, Новый год"
6960892,"Пакет-коробка подарочная ""Magic winter"", Me To You"
6960893,"Пакет-коробка подарочная ""С новым годом"", 28х20х13 см, Me To You"
6960897,"Пакет-коробка подарочная ""Happy new year"", 28х20х13 см, Me To You"
6960898,"Пакет-коробка подарочная ""Happy new year"", 28х20х13 см, Me To You"
6960900,"Пакет-коробка подарочная ""Счастливого нового года"", 28х20х13 см, Me To You"
6960895,"Пакет-коробка подарочная ""Happy new year"", 28х20х13 см, Me To You"
9842919,"Пакетик под сладости «Белка», 11 х 6 см, Новый год"
10454489,"Пакет подарочный ""Белочка"", 26 х 32 х 12 см"
4753240,"Пакет подарочный крафтовый, упаковка, «Space», 25 х 22 х 12 см"
9136849,"Пакет подарочный ламинированный вертикальный, упаковка, «Любимой сестрёнке», ML 27 х 23 х 11,5 см"
9592299,"Пакет подарочный ""Букет цветов"", 11,5 х14,5 х 6 см"
4725155,"Пакет подарочный ламинированный горизонтальный, упаковка, «Разводы», ML 27 х 23 х 11,5 см"
3680622,"Пакет подарочный ламинированный вертикальный, упаковка, «Краски неба», MS 18 х 23 х 10 см"
6960901,"Пакет-коробка подарочная ""Новогодняя почта деда мороза"", Me To You"
6960902,"Пакет-коробка подарочная ""Чудесного нового года"", 28х20х13 см, Me To You"
9382016,"Пакет подарочный ""Цветочная композиция"", 22 х 18 х 10 см"
7059446,"Пакет подарочный ламинированный, упаковка, «Свежесть», MS 18 х 23 х 10 см"
9673657,"Пакет фасовочный БОПП, с донной складкой, ""Открытка с подарком"" 9*19 см. Новый год"
9382017,"Пакет подарочный ""С самыми теплыми чувствами"", 22 х 18 х 10 см"
9382018,"Пакет подарочный ""23 февраля"", камуфляж 18 х 22,3 х10 см"
7992165,"Пакет подарочный ламинированный двухсторонний, упаковка, «Стиль», ML 23 х 27 х 11,5 см"
9382019,"Пакет подарочный ""С 23 февраля"", синий камуфляж 18 х 22,3 х10 см"
9382020,"Пакет подарочный ""Цветочного 8 Марта "", 18 х 22,3 х10 см"
9382021,"Пакет подарочный ""В этот прекрасный день"", 18 х 22,3 х10 см"
9382022,"Пакет подарочный ""С любовью"", 18 х 22,3 х10 см"
7188205,"Пакет подарочный крафтовый, упаковка, «Boss», 22 х 17,5 х 8 см"
9382024,"Пакет подарочный ""Красота вдохновляет"", 26 х 32 х 12 см"
9382025,"Пакет подарочный ""С праздником 8 Марта"", 26 х 32 х 12 см"
9382026,"Пакет подарочный ""8 Марта"", 26 х 32 х 12 см"
9382027,"Пакет подарочный ""В весенний день 8 Марта"", 26 х 32 х 12 см"
9382028,"Пакет подарочный ""Для тебя"", 26 х 32 х 12 см"
9382029,"Пакет подарочный ""Дамы с 8 Марта"", 26 х 32 х 12 см"
9382030,"Пакет подарочный ""Цветы к 8 Марта"", 26 х 32 х 12 см"
9382032,"Пакет подарочный ""С днём 8 Марта"", 26 х 32 х 12 см"
9382033,"Пакет подарочный ""В прекрасный день 8 Марта"", 26 х 32 х 12 см"
9382034,"Пакет подарочный ""23 февраля"", 26 х 32 х 12 см"
7041668,"Пакет подарочный «Сказочный патруль», 335х406х155 мм, цвет оранжевый"
9382035,"Пакет подарочный ""С праздником 23 февраля"", 26 х 32 х 12 см"
10473666,"Пакет подарочный без ручек «Светлой Пасхи», 10 х 19.5 х 7 см"
9382036,"Пакет подарочный ""Защитнику на 23 февраля"", 26 х 32 х 12 см"
9382037,"Пакет подарочный ""С Днём Защитника Отечества"", 26 х 32 х 12 см"
9382038,"Пакет подарочный ""С заботой на 23 февраля"", 26 х 32 х 12 см"
3639768,"Пакет подарочный ламинированный вертикальный, упаковка, «Защитнику», ML 23 х 27 х 11,5 см"
2728122,"Пакет ""Удалая тройка"", полиэтиленовый с вырубной ручкой, 47,5 х 39 см, 60 мкм"
1741024,"Пакет подарочный без ручек «Моменты счастья»,12 × 8 × 20 см"
1741025,"Пакет подарочный без ручек «Улыбнись!», 12 х 20 х 8 см"
6582740,"Пакет подарочный ламинированный, упаковка, Present for you, ML 21 х 25 х 8 см"
3340840,"Пакет ""Фиалки"", мягкий пластик, 26 х 23 см, 120 мкм"
3340846,"Пакет ""Розы"", мягкий палстик, 30 х 30 см, 140 мкм"
1499485,"Пакет подарочный крафтовый вертикальный, упаковка, «Поздравляю от всей души!», ML 23 х 27 х 11,5 см"
1741027,"Пакет подарочный без ручек «Акварельные цветы», 12 х 20 х 8 см"
9382039,"Пакет подарочный ""Моему герою на 23 февраля"", 26 х 32 х 12 см"
1741028,"Пакет подарочный без ручек «Хорошего настроения!», 12 х 20 х 8 см"
1741029,"Пакет подарочный без ручек ""Цветочный"",12 х 20 х 8см"
1741030,"Пакет подарочный без ручек ""Уютного настроения!"",12 х 20 х 8см"
2728101,"Пакет ""Золотые звёзды"", полиэтиленовый с вырубной ручкой, 40 х31 см, 60 мкм"
2728102,"Пакет ""Загадочные фужеры"", полиэтиленовый с вырубной ручкой, 40 х31 см, 60 мкм"
1741031,"Пакет подарочный без ручек «Для хорошего настроения», 12 х 20 х 8 см"
2728103,"Пакет ""Лайки"", полиэтиленовый с вырубной ручкой, 40 х 31 см, 60 мкм"
7669440,"Пакет ""Яркие гиацинты"", полиэтиленовый, с вырубной ручкой, 38 х 45 см, 60 мкм"
6582746,"Пакет подарочный ламинированный, упаковка, «Лучшему мужчине», S 12 х 15 х 5,5 см"
1741032,"Пакет подарочный без ручек ""Для тебя"",12 х 20 х 8см"
2728123,"Пакет ""Новогодняя неожиданность"", полиэтиленовый с вырубной ручкой, 45 х 38 см, 60 мкм"
